review_count original,review_count z-score,review_count min-max,hours original,hours z-score,hours min-max
58,-0.097440894,0.007007801,81.5,0.772853023,0.556313993
32,-0.145450431,0.003570012,88,0.982200094,0.600682594
19,-0.169455199,0.001851117,35,-0.724783715,0.23890785
142,0.057666839,0.018114505,55.5,-0.06453526,0.37883959
38,-0.134371307,0.004363348,99,1.336479752,0.675767918
20,-0.167608678,0.00198334,49,-0.273882331,0.33447099
39,-0.132524786,0.004495571,81.5,0.772853023,0.556313993
44,-0.123292183,0.005156684,70,0.402469744,0.4778157
11,-0.184227364,0.000793336,70,0.402469744,0.4778157
19,-0.169455199,0.001851117,63,0.177019052,0.43003413
17,-0.17314824,0.001586672,33,-0.789198198,0.225255973
5,-0.195306488,0,105,1.529723202,0.716723549
68,-0.078975688,0.008330028,105,1.529723202,0.716723549
62,-0.090054811,0.007536692,60,0.080397327,0.409556314
44,-0.123292183,0.005156684,80.5,0.740645781,0.549488055
59,-0.095594373,0.007140024,63,0.177019052,0.43003413
38,-0.134371307,0.004363348,105,1.529723202,0.716723549
29,-0.150989992,0.003173344,68,0.33805526,0.464163823
34,-0.141757389,0.003834457,72,0.466884227,0.491467577
29,-0.150989992,0.003173344,0,-1.852037173,0
12,-0.182380843,0.000925559,83,0.821163885,0.566552901
25,-0.158376075,0.002644453,67,0.305848019,0.457337884
12,-0.182380843,0.000925559,57,-0.016224398,0.389078498
21,-0.165762158,0.002115563,41,-0.531540265,0.279863481
16,-0.174994761,0.001454449,23,-1.111270615,0.156996587
16,-0.174994761,0.001454449,0,-1.852037173,0
41,-0.128831745,0.004760016,59.5,0.064293706,0.406143345
31,-0.147296951,0.003437789,44,-0.43491854,0.300341297
88,-0.042045275,0.010974481,56,-0.04843164,0.38225256
132,0.039201633,0.016792278,51.5,-0.193364227,0.351535836
172,0.113062459,0.022081185,59,0.048190085,0.402730375
5,-0.195306488,0,63,0.177019052,0.43003413
27,-0.154683034,0.002908899,88.5,0.998303714,0.604095563
44,-0.123292183,0.005156684,75,0.563505952,0.511945392
53,-0.106673497,0.006346688,74,0.53129871,0.505119454
93,-0.032812672,0.011635594,67.5,0.321951639,0.460750853
15,-0.176841281,0.001322227,32,-0.82140544,0.218430034
58,-0.097440894,0.007007801,70,0.402469744,0.4778157
20,-0.167608678,0.00198334,0,-1.852037173,0
7,-0.191613446,0.000264445,0,-1.852037173,0
8,-0.189766926,0.000396668,0,-1.852037173,0
65,-0.08451525,0.00793336,78,0.660127677,0.532423208
7,-0.191613446,0.000264445,0,-1.852037173,0
64,-0.08636177,0.007801137,76,0.595713194,0.518771331
18,-0.171301719,0.001718895,84,0.853371127,0.57337884
50,-0.112213059,0.00595002,88,0.982200094,0.600682594
20,-0.167608678,0.00198334,35,-0.724783715,0.23890785
380,0.497138751,0.049583499,79,0.692334919,0.539249147
20,-0.167608678,0.00198334,59,0.048190085,0.402730375
25,-0.158376075,0.002644453,38,-0.62816199,0.259385666
47,-0.117752621,0.005553352,68.5,0.354158881,0.467576792
17,-0.17314824,0.001586672,41,-0.531540265,0.279863481
47,-0.117752621,0.005553352,84,0.853371127,0.57337884
468,0.659632567,0.061219093,29.5,-0.901923544,0.201365188
8,-0.189766926,0.000396668,72,0.466884227,0.491467577
42,-0.126985224,0.004892239,51.5,-0.193364227,0.351535836
20,-0.167608678,0.00198334,89,1.014407335,0.607508532
11,-0.184227364,0.000793336,0,-1.852037173,0
15,-0.176841281,0.001322227,30,-0.885819923,0.204778157
9,-0.187920405,0.000528891,57,-0.016224398,0.389078498
11,-0.184227364,0.000793336,63,0.177019052,0.43003413
72,-0.071589605,0.008858918,73.5,0.515195089,0.501706485
59,-0.095594373,0.007140024,62,0.14481181,0.423208191
8,-0.189766926,0.000396668,42,-0.499333023,0.28668942
209,0.181383722,0.026973423,68.5,0.354158881,0.467576792
54,-0.104826977,0.00647891,51,-0.209467848,0.348122867
153,0.077978566,0.019568954,0,-1.852037173,0
20,-0.167608678,0.00198334,0,-1.852037173,0
56,-0.101133935,0.006743356,91,1.078821819,0.62116041
8,-0.189766926,0.000396668,60,0.080397327,0.409556314
20,-0.167608678,0.00198334,42,-0.499333023,0.28668942
52,-0.108520018,0.006214465,60,0.080397327,0.409556314
9,-0.187920405,0.000528891,0,-1.852037173,0
6,-0.193459967,0.000132223,0,-1.852037173,0
18,-0.171301719,0.001718895,65,0.241433535,0.443686007
243,0.244165424,0.031468994,45,-0.402711298,0.307167235
41,-0.128831745,0.004760016,146.5,2.866323731,1
28,-0.152836513,0.003041121,55,-0.080638881,0.375426621
6,-0.193459967,0.000132223,0,-1.852037173,0
88,-0.042045275,0.010974481,64.5,0.225329914,0.440273038
31,-0.147296951,0.003437789,78,0.660127677,0.532423208
104,-0.012500945,0.013090044,63,0.177019052,0.43003413
330,0.404812719,0.042972365,14.5,-1.385032169,0.098976109
13,-0.180534323,0.001057781,87.5,0.966096473,0.597269625
6,-0.193459967,0.000132223,0,-1.852037173,0
5,-0.195306488,0,0,-1.852037173,0
28,-0.152836513,0.003041121,114,1.819588377,0.778156997
19,-0.169455199,0.001851117,58,0.015982844,0.395904437
25,-0.158376075,0.002644453,82.5,0.805060264,0.563139932
8,-0.189766926,0.000396668,76,0.595713194,0.518771331
470,0.663325608,0.061483538,83,0.821163885,0.566552901
121,0.018889906,0.015337829,52,-0.177260606,0.354948805
120,0.017043385,0.015205606,72,0.466884227,0.491467577
10,-0.186073885,0.000661113,0,-1.852037173,0
5,-0.195306488,0,0,-1.852037173,0
35,-0.139910869,0.00396668,30.5,-0.869716302,0.208191126
416,0.563613494,0.054343514,92,1.11102906,0.627986348
15,-0.176841281,0.001322227,0,-1.852037173,0
149,0.070592484,0.019040063,83,0.821163885,0.566552901
20,-0.167608678,0.00198334,58,0.015982844,0.395904437
12,-0.182380843,0.000925559,85,0.885578369,0.580204778
60,-0.093747853,0.007272246,77,0.627920435,0.52559727
23,-0.162069116,0.002380008,54,-0.112846123,0.368600683
12,-0.182380843,0.000925559,116,1.88400286,0.791808874
9,-0.187920405,0.000528891,63,0.177019052,0.43003413
5,-0.195306488,0,76,0.595713194,0.518771331
24,-0.160222596,0.002512231,0,-1.852037173,0
78,-0.060510481,0.009652254,101,1.400894235,0.689419795
561,0.831358986,0.073515801,81,0.756749402,0.552901024
23,-0.162069116,0.002380008,128,2.27048976,0.873720137
167,0.103829855,0.021420071,69,0.370262502,0.470989761
8,-0.189766926,0.000396668,85,0.885578369,0.580204778
6,-0.193459967,0.000132223,0,-1.852037173,0
21,-0.165762158,0.002115563,71,0.434676985,0.484641638
20,-0.167608678,0.00198334,54,-0.112846123,0.368600683
16,-0.174994761,0.001454449,73.5,0.515195089,0.501706485
12,-0.182380843,0.000925559,18,-1.272306823,0.122866894
198,0.161071995,0.025518974,66,0.273640777,0.450511945
365,0.469440941,0.047600159,50,-0.24167509,0.341296928
6,-0.193459967,0.000132223,78,0.660127677,0.532423208
12,-0.182380843,0.000925559,81,0.756749402,0.552901024
41,-0.128831745,0.004760016,56,-0.04843164,0.38225256
5,-0.195306488,0,0,-1.852037173,0
72,-0.071589605,0.008858918,79,0.692334919,0.539249147
60,-0.093747853,0.007272246,61,0.112604569,0.416382253
89,-0.040198754,0.011106704,0,-1.852037173,0
314,0.375268389,0.040856803,72,0.466884227,0.491467577
15,-0.176841281,0.001322227,66,0.273640777,0.450511945
24,-0.160222596,0.002512231,0,-1.852037173,0
19,-0.169455199,0.001851117,25,-1.046856131,0.170648464
12,-0.182380843,0.000925559,71,0.434676985,0.484641638
51,-0.110366538,0.006082242,85.5,0.901681989,0.583617747
8,-0.189766926,0.000396668,0,-1.852037173,0
28,-0.152836513,0.003041121,83,0.821163885,0.566552901
7,-0.191613446,0.000264445,100,1.368686994,0.682593857
16,-0.174994761,0.001454449,0,-1.852037173,0
32,-0.145450431,0.003570012,68,0.33805526,0.464163823
19,-0.169455199,0.001851117,75.5,0.579609573,0.515358362
29,-0.150989992,0.003173344,22.5,-1.127374235,0.153583618
44,-0.123292183,0.005156684,78.5,0.676231298,0.535836177
10,-0.186073885,0.000661113,62,0.14481181,0.423208191
